"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 16, 2016","152.63","152.76","153.63","152.39","-","-0.09%"
"Aug 15, 2016","152.76","151.70","152.95","151.53","-","0.67%"
"Aug 12, 2016","151.75","150.39","151.75","150.38","-","0.91%"
"Aug 11, 2016","150.38","150.01","150.50","149.30","-","0.37%"
"Aug 10, 2016","149.82","149.19","150.16","149.17","-","0.51%"
"Aug 09, 2016","149.06","148.90","149.29","148.72","-","0.09%"
"Aug 08, 2016","148.92","147.07","149.00","147.06","-","1.26%"
"Aug 05, 2016","147.07","145.18","147.15","145.10","-","1.36%"
"Aug 04, 2016","145.10","144.61","145.30","144.59","-","0.39%"
"Aug 03, 2016","144.54","146.63","146.63","144.50","-","-1.41%"
"Aug 02, 2016","146.60","147.01","147.01","146.59","-","-0.19%"
"Aug 01, 2016","146.88","144.92","147.06","144.92","-","1.39%"
"Jul 29, 2016","144.86","146.87","146.87","144.86","-","-1.39%"
"Jul 28, 2016","146.90","146.80","146.94","146.04","-","0.12%"
"Jul 27, 2016","146.73","146.22","147.02","145.78","-","0.34%"
"Jul 26, 2016","146.23","145.23","146.56","144.70","-","0.64%"
"Jul 25, 2016","145.30","145.34","146.01","144.61","-","-0.01%"
"Jul 22, 2016","145.31","145.91","145.91","145.01","-","-0.34%"
"Jul 21, 2016","145.81","145.10","146.33","145.10","-","0.45%"
"Jul 20, 2016","145.16","144.30","145.16","144.05","-","0.53%"
"Jul 19, 2016","144.39","144.86","144.89","143.93","-","-0.30%"
"Jul 18, 2016","144.83","143.94","144.94","143.84","-","0.64%"
"Jul 15, 2016","143.91","143.27","144.32","143.15","-","0.54%"
"Jul 14, 2016","143.13","142.01","143.34","141.66","-","0.82%"
"Jul 13, 2016","141.96","141.75","142.42","141.56","-","0.21%"
"Jul 12, 2016","141.66","139.96","142.00","139.95","-","1.19%"
"Jul 11, 2016","140.00","137.32","140.02","137.32","-","1.99%"
"Jul 08, 2016","137.27","137.76","137.79","137.00","-","-0.38%"
"Jul 07, 2016","137.80","136.41","137.86","136.41","-","1.09%"
"Jul 06, 2016","136.32","137.93","137.93","135.73","-","-1.42%"
"Jul 05, 2016","138.29","139.98","139.98","138.11","-","-1.21%"
"Jul 04, 2016","139.98","138.84","140.32","138.68","-","0.82%"
"Jul 01, 2016","138.84","138.47","138.98","138.47","-","0.29%"
"Jun 30, 2016","138.44","136.12","138.51","136.12","-","1.78%"
"Jun 29, 2016","136.02","134.29","136.20","134.29","-","1.30%"
"Jun 28, 2016","134.27","133.79","134.42","132.45","-","0.37%"
"Jun 27, 2016","133.78","134.42","134.53","132.90","-","-0.52%"
"Jun 24, 2016","134.48","138.36","138.70","132.41","-","-2.68%"
"Jun 23, 2016","138.18","138.06","138.45","137.65","-","0.12%"
"Jun 22, 2016","138.02","137.26","138.26","136.55","-","0.58%"
"Jun 21, 2016","137.23","136.39","137.47","136.35","-","0.65%"
"Jun 20, 2016","136.35","134.70","136.57","134.70","-","1.32%"
"Jun 17, 2016","134.58","133.98","135.35","133.98","-","0.47%"
"Jun 16, 2016","133.95","136.10","136.10","133.57","-","-1.50%"
"Jun 15, 2016","135.99","135.35","136.37","134.38","-","0.43%"
"Jun 14, 2016","135.41","135.52","135.72","135.11","-","-0.07%"
"Jun 13, 2016","135.50","138.54","138.54","135.24","-","-2.33%"
"Jun 10, 2016","138.73","140.24","140.26","138.54","-","-1.15%"
"Jun 09, 2016","140.35","140.40","140.46","140.13","-","-0.02%"
"Jun 08, 2016","140.38","140.53","140.79","140.07","-","-0.01%"
"Jun 07, 2016","140.39","138.87","140.78","138.87","-","1.17%"
"Jun 06, 2016","138.77","138.06","138.95","137.67","-","0.75%"
"Jun 03, 2016","137.74","137.34","138.32","137.34","-","0.30%"
"Jun 02, 2016","137.33","137.17","137.64","136.91","-","0.13%"
"Jun 01, 2016","137.15","137.54","138.29","137.14","-","-0.31%"
"May 31, 2016","137.58","136.65","138.20","136.54","-","0.70%"
"May 30, 2016","136.63","136.03","136.97","135.58","-","0.37%"
"May 27, 2016","136.12","134.65","136.12","134.51","-","1.17%"
"May 26, 2016","134.55","134.41","134.67","133.78","-","0.19%"
"May 25, 2016","134.30","131.98","134.67","131.98","-","1.80%"
"May 24, 2016","131.93","132.05","132.06","131.21","-","-0.08%"
"May 23, 2016","132.03","131.04","132.59","130.89","-","0.80%"
"May 20, 2016","130.98","130.03","131.54","129.85","-","0.77%"
"May 19, 2016","129.98","131.18","131.25","129.90","-","-1.02%"
"May 18, 2016","131.32","132.52","132.52","130.92","-","-0.95%"
"May 17, 2016","132.58","131.20","132.71","131.16","-","1.09%"
"May 16, 2016","131.15","130.17","131.51","130.00","-","0.67%"
"May 13, 2016","130.28","131.52","131.52","129.88","-","-1.05%"
"May 12, 2016","131.66","132.38","132.61","131.49","-","-0.52%"
"May 11, 2016","132.35","132.99","133.76","132.01","-","-0.48%"
"May 10, 2016","132.99","132.41","133.12","131.50","-","0.26%"
